start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
26.69641859410431,26.99827800453515,66,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
26.487439002267575,26.69641859410431,66,72,2,2,0,0,0,0,1,1,1,1,4,4,5,4,4,3,3,3
25.77794648526077,26.150749659863944,62,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25.5805768707483,25.77794648526077,62,96,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
25.359987301587303,25.53413696145125,64,96,2,2,2,2,0,0,0,0,1,1,1,1,0,-1,-1
25.185837641723356,25.359987301587303,64,104,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2
24.953638095238095,25.185837641723356,64,93,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
24.77948843537415,24.953638095238095,62,81,3,1,1,1,1,1,1,0,0,0,0,0,2,2,2
24.535678911564627,24.698218594104308,64,88,-2,1,1,1,2,2,2,2,2,2,2,2,2,2
24.315089342403628,24.524068934240365,62,90,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
24.117719727891156,24.268649433106578,64,95,2,2,1,1,1,1,1,2,2,2,2,2,2
23.94357006802721,24.117719727891156,64,76,-2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
23.73330657596372,23.94357006802721,62,77,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2
23.280517460317462,23.46627709750567,66,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.141197732426306,23.280517460317462,66,67,2,2,2,1,1,1,1,2,2,2,1,1
22.13112970521542,22.39815918367347,62,71,2,2,2,2,2,1,-1,-1,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0
21.945370068027213,22.08468979591837,64,84,3,1,1,1,1,1,1,1,0,0,0,0
21.66544671201814,21.804766439909297,64,87,0,0,0,1,1,1,1,2,2,2,2,-1
21.3635873015873,21.66544671201814,62,75,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
21.00367800453515,21.154607709750568,66,77,1,2,2,2,2,2,2,2,1,0,0,0,0
20.81791836734694,20.957238095238097,64,85,-2,1,1,1,1,1,1,1,1,2,2,2
20.539278911564626,20.78308843537415,62,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1
20.365129251700683,20.539278911564626,62,100,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
19.655636734693875,19.864616326530612,66,87,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3
19.458267120181404,19.63241678004535,64,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.260897505668932,19.458267120181404,64,61,0,0,0,0,0,0,1,2,2,0,0,1,1,1,1,1,1
19.02869795918367,19.260897505668932,64,66,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,4,5,0
18.8313283446712,19.02869795918367,64,48,5,2,0,0,0,0,0,0,0,-3,-3,0,0,0,0,1,1
18.59912879818594,18.796498412698412,64,82,1,1,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3
17.99540997732426,18.274049433106576,62,78,2,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2
